WorksPlace;WorkYear;OnTerritoryOfMoscow;AdmArea;District;WorksBeginDate;PlannedEndDate;ActualBeginDate;ActualEndDate;WorksType;WorksStatus;WorkReason;Customer;Contractor;global_id;geoData;geodata_center
Место проведения;Год проведения работ;Объект расположен в пределах границ города Москвы;Административный округ;Район;Плановая дата начала выполнения работ;Плановая дата окончания работ;Фактическая дата начала выполнения работ;Фактическая дата окончания работ;Тип работ;Статус работ;Основание проведения работ;Заказчик;Подрядчик;global_id;geoData;geodata_center
Подъезд к подстанции «Грач» (ул. Брусилова д.30);2020;да;Юго-Западный административный округ;район Южное Бутово;29.09.2020;02.10.2020;29.09.2020;02.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062028980;{coordinates=[[[37.595304918, 55.500028313], [37.595348954, 55.499941353], [37.596318793, 55.49847868]]], type=MultiLineString};{coordinates=[37.595348954, 55.499941353], type=Point}
Проезд от Нахимовского проспекта до Севастопольского проспекта;2020;да;Юго-Западный административный округ;[район Котловка, район Черёмушки];29.09.2020;02.10.2020;29.09.2020;02.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062029070;{coordinates=[[[37.583190722, 55.668012631], [37.582305593, 55.668230463], [37.58225329, 55.668831766], [37.582188917, 55.669755258], [37.58222915, 55.669852825], [37.582415342, 55.670055152], [37.583158535, 55.67069688]]], type=MultiLineString};{coordinates=[37.58225329, 55.668831766], type=Point}
Проезд от Западной улицы до ВВС;2020;да;Восточный административный округ;район Восточный;29.08.2020;14.09.2020;29.08.2020;14.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062029248;{coordinates=[[[37.865719859, 55.815260068], [37.865903378, 55.814611686], [37.865953211, 55.814401049], [37.865856651, 55.814283498], [37.865438227, 55.814021267], [37.862332229, 55.812262462], [37.861085002, 55.811552588], [37.861002524, 55.811482522], [37.860990454, 55.811423742], [37.861032699, 55.811380787], [37.862416719, 55.810605327], [37.862485115, 55.810535241], [37.862521325, 55.810431243], [37.862589721, 55.81015316], [37.862646047, 55.810071769], [37.862774793, 55.810024291], [37.863261614, 55.809960987], [37.864436422, 55.809829857], [37.864573215, 55.809793683], [37.864645634, 55.809748466], [37.86487094, 55.809456813], [37.865204875, 55.809038534], [37.865172688, 55.808972979], [37.865051989, 55.8089255], [37.86347485, 55.808525315], [37.863708202, 55.808220087], [37.863941554, 55.807930683]]], type=MultiLineString};{coordinates=[37.862485115, 55.810535241], type=Point}
Проезд 23-го квартала Новых Черемушек;2020;да;Юго-Западный административный округ;район Черёмушки;24.09.2020;10.10.2020;24.09.2020;10.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062029344;{coordinates=[[[37.56759882, 55.671537523], [37.567480803, 55.671434666], [37.567352057, 55.671277356]]], type=MultiLineString};{coordinates=[37.567480803, 55.671434666], type=Point}
Проезд от Большой Академической улицы к зданию ВОХР;2020;да;Северный административный округ;район Коптево;08.09.2020;18.09.2020;08.09.2020;18.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062029445;{coordinates=[[[37.530401945, 55.825964215], [37.530745268, 55.825060233], [37.531013489, 55.824198417], [37.531850338, 55.8234752]]], type=MultiLineString};{coordinates=[37.531013489, 55.824198417], type=Point}
Большая Пионерская улица;2020;да;Центральный административный округ;район Замоскворечье;09.09.2020;23.09.2020;09.09.2020;23.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062031031;{coordinates=[[[37.634298872, 55.729921256], [37.634331058, 55.727565059], [37.634353638, 55.727371391], [37.634371292, 55.724798646]]], type=MultiLineString};{coordinates=[37.634353638, 55.727371391], type=Point}
Большой Предтеченский переулок;2020;да;Центральный административный округ;Пресненский район;29.08.2020;02.09.2020;29.08.2020;02.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062031105;{coordinates=[[[37.561726345, 55.761245183], [37.567035556, 55.760034491], [37.568139506, 55.759755647], [37.57154323, 55.758963318]]], type=MultiLineString};{coordinates=[37.567035556, 55.760034491], type=Point}
ГБУЗ «ГКБ №40 ДЗМ»;2020;да;Северо-Восточный административный округ;Алексеевский район;13.09.2020;27.09.2020;13.09.2020;27.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062031303;{coordinates=[[[37.653039466, 55.826308074], [37.654584418, 55.825761172], [37.65563048, 55.825354381], [37.656925987, 55.824983745], [37.658189307, 55.824789385], [37.659130762, 55.824708025], [37.660241197, 55.825815411], [37.660836647, 55.825648175], [37.661335538, 55.826258356], [37.661367725, 55.827225587], [37.661166559, 55.82732954], [37.655026982, 55.828278665], [37.65386939, 55.827177025], [37.653055559, 55.826312594]]], type=MultiLineString};{coordinates=[37.656925987, 55.824983745], type=Point}
Павлоградская 1-я ул.;2020;да;Юго-Западный административный округ;район Южное Бутово;04.09.2020;13.09.2020;04.09.2020;13.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062031508;{coordinates=[[[37.573321534, 55.54370288], [37.575083745, 55.545041322], [37.576340139, 55.545947644], [37.577602339, 55.546903228], [37.579396737, 55.548227904]]], type=MultiLineString};{coordinates=[37.576340139, 55.545947644], type=Point}
Восточная ул. (за исключением гарантийного участка по подтоплениям);2020;да;Южный административный округ;Даниловский район;19.09.2020;25.10.2020;19.09.2020;25.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062031650;{coordinates=[[[37.663628827, 55.71770376], [37.662806511, 55.717357427], [37.661826382, 55.71702389], [37.661536704, 55.716819927], [37.660917113, 55.716280551], [37.660530875, 55.715723038], [37.659251462, 55.713941663], [37.65896983, 55.713511038], [37.658696244, 55.712921754], [37.658044468, 55.711389576], [37.657674323, 55.710546398]]], type=MultiLineString};{coordinates=[37.659251462, 55.713941663], type=Point}
Дербеневская улица;2020;да;Южный административный округ;Даниловский район;28.09.2020;31.10.2020;28.09.2020;31.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062031794;{coordinates=[[[37.652001451, 55.726849133], [37.651325534, 55.726214736], [37.651011716, 55.725938317], [37.650311659, 55.725145301], [37.650066237, 55.724890417], [37.649867083, 55.724590198], [37.649581428, 55.724150627], [37.649197201, 55.723584163], [37.649034349, 55.723331818], [37.649028674, 55.723323024], [37.648851196, 55.723056205], [37.648569565, 55.722634744], [37.648255746, 55.722140769], [37.648167233, 55.721828065], [37.647941928, 55.720996443], [37.647563736, 55.719491775], [37.647426944, 55.718972832], [37.647173475, 55.71844935], [37.646920006, 55.717946256], [37.6468154, 55.717522475], [37.646682631, 55.717264124], [37.646678607, 55.716792743], [37.646678607, 55.716609175], [37.646903913, 55.716124188]]], type=MultiLineString};{coordinates=[37.648167233, 55.721828065], type=Point}
Дороги 13-го квартала ЮЗАО;2020;да;Юго-Западный административный округ;Гагаринский район;27.09.2020;16.10.2020;27.09.2020;16.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062032550;{coordinates=[[[37.533716037, 55.691651736], [37.534890844, 55.690971412], [37.537176086, 55.692250411], [37.535433769, 55.691169106], [37.534886821, 55.690969156], [37.535321339, 55.690715166], [37.531986012, 55.688862345], [37.535319327, 55.690714038], [37.536395564, 55.690100598], [37.533072307, 55.688247743], [37.536393552, 55.690099464], [37.537244483, 55.689613009], [37.539624273, 55.690932878], [37.536636962, 55.689277366], [37.535792067, 55.689764954], [37.536632939, 55.689277366], [37.540426924, 55.68710696], [37.53770314, 55.685587378], [37.541010304, 55.68743355], [37.541195377, 55.687265719], [37.541814967, 55.686911919], [37.542472779, 55.686597799], [37.541784792, 55.686926661], [37.541197137, 55.687264738], [37.541195125, 55.687266014], [37.54101131, 55.687432991], [37.540183513, 55.687908693], [37.539594098, 55.687585509], [37.542575373, 55.689243337], [37.540801092, 55.688256814], [37.54039876, 55.688490416], [37.542156948, 55.68947467], [37.540400772, 55.68849155], [37.53784798, 55.689944113]]], type=MultiLineString};{coordinates=[37.537244483, 55.689613009], type=Point}
МКАД внешнее кольцо 68 плюс 800 км 71 плюс 800 км 0-5 ряд;2020;да;Северо-Западный административный округ;[район Митино, район Покровское-Стрешнево, район Северное Тушино, район Строгино, район Южное Тушино];01.10.2020;24.10.2020;01.10.2020;24.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062032840;{coordinates=[[[37.398951131, 55.861090527], [37.397985536, 55.859916408], [37.395861226, 55.856122855], [37.393865663, 55.852464484], [37.392739135, 55.850377675], [37.391902286, 55.848606963], [37.391709167, 55.847739645], [37.391628701, 55.846854239], [37.391757447, 55.845833286], [37.392354012, 55.844783367], [37.392610389, 55.843800335], [37.393720824, 55.842246186], [37.3944933, 55.840935953], [37.394976098, 55.839905808], [37.395571548, 55.838206914], [37.395748574, 55.837239956], [37.395861227, 55.835269772], [37.395700294, 55.833914115], [37.39508875, 55.831799196], [37.393930036, 55.828201762]]], type=MultiLineString};{coordinates=[37.392354012, 55.844783367], type=Point}
ВТБ Арена Центральный стадион Динамо от Трудовой аллеи до Петровско-Разумовской аллеи;2020;да;Северный административный округ;район Аэропорт;10.09.2020;24.10.2020;10.09.2020;24.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062032867;{coordinates=[[[37.556407524, 55.791358706], [37.557260467, 55.791901567], [37.557419837, 55.791996968], [37.55806513, 55.792340375], [37.558620347, 55.792512278], [37.559851481, 55.792815367], [37.560728563, 55.793023458], [37.561541272, 55.793018934]]], type=MultiLineString};{coordinates=[37.558620347, 55.792512278], type=Point}
Проезд от Астрадамской улицы до ул. Вучетича;2020;да;Северный административный округ;Тимирязевский район;12.10.2020;16.10.2020;12.10.2020;16.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062033170;{coordinates=[[[37.556624783, 55.813546533], [37.556988001, 55.813607972], [37.558773233, 55.813876586], [37.559087051, 55.813935363], [37.560873402, 55.814351316], [37.562466635, 55.814713011]]], type=MultiLineString};{coordinates=[37.559087051, 55.813935363], type=Point}
Лобненская улица дом 14 (Дорога от улицы Лобненская к магазину «Пятерочка» ЗАО «БИН»);2020;да;Северный административный округ;Дмитровский район;11.10.2020;16.10.2020;11.10.2020;16.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062033174;{coordinates=[[[37.524148598, 55.893076215], [37.524462416, 55.893265721], [37.524985447, 55.893261209], [37.524466439, 55.893265732], [37.524482533, 55.893331157], [37.524478509, 55.893795893], [37.524484992, 55.894128665], [37.524470463, 55.894210992]]], type=MultiLineString};{coordinates=[37.524482533, 55.893331157], type=Point}
Проезд от ул. Софьи Ковалевской до ул. Лобненская, 9с1 (к Зданию мировых судей);2020;да;Северный административный округ;Дмитровский район;11.10.2020;20.10.2020;11.10.2020;20.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062033603;{coordinates=[[[37.536490111, 55.887659129], [37.537557408, 55.887667693], [37.537962644, 55.887664769], [37.538039087, 55.887643334], [37.538101448, 55.887614002], [37.53811553, 55.887572259], [37.538129612, 55.88709052]]], type=MultiLineString};{coordinates=[37.537557408, 55.887667693], type=Point}
